cfg_label,round,elo_temperature,w_tournament,w_blade,uwo_lambda,elo_rounds,gsi_n,response_quality,relevance,helpfulness,toxicity,harmfulness,refusal,truthfulness,non_deception,epistemic_honesty,objective
r0_cfg18,0,39.90615934692323,0.8044960973784328,0.018064135685563087,0.23329249490052462,7,12,0.768,0.892,0.864,0.0,0.0,0.122,0.788,0.766,0.796,0.8112980440432225
r0_cfg19,0,23.785287456586957,2.8075658390298486,2.8497415613383055,0.9371837610378861,9,14,0.76,0.894,0.862,0.0,0.0,0.086,0.77,0.77,0.76,0.8010520487264673
r0_cfg22,0,28.575872289948165,0.7406320162117481,2.009069222956896,0.8233212996274233,9,11,0.772,0.858,0.852,0.006,0.0,0.146,0.716,0.72,0.714,0.7680339666090962
r0_cfg23,0,35.115573859773576,1.734423654153943,1.0528495386242867,0.025747759267687798,7,13,0.808,0.866,0.846,0.0,0.02,0.166,0.768,0.79,0.756,0.8042035581299131
r0_cfg24,0,14.434482619166374,1.220917266793549,2.5220855567604303,0.7276120530441403,4,7,0.776,0.9,0.868,0.006,0.016,0.096,0.786,0.8,0.756,0.8129414654113795
r0_cfg28,0,7.920817048288882,1.0586643805727363,2.1691599916666746,0.11839135363698006,10,5,0.788,0.866,0.866,0.006,0.0,0.146,0.78,0.762,0.758,0.8016597510373444
r0_cfg25,0,11.911103983409703,2.8288268269971013,0.8875619117170572,0.7895000949501991,8,9,0.77,0.868,0.846,0.0,0.0,0.122,0.76,0.762,0.744,0.7899991578947368
r0_cfg29,0,3.1326124407351017,1.6282446440309286,2.63998057320714,0.13819196727126837,8,7,0.804,0.884,0.866,0.0,0.0,0.152,0.798,0.79,0.758,0.8151951020408164
r0_cfg27,0,27.004716405645013,1.950835783034563,0.6559782363474369,0.6352125694975257,5,11,0.77,0.882,0.876,0.0,0.004,0.166,0.772,0.76,0.76,0.801407468879668
r0_cfg26,0,30.288369027897716,0.15577162988483906,2.3128509745001793,0.46409622114151716,3,16,0.782,0.864,0.854,0.0,0.0,0.106,0.732,0.72,0.744,0.7793867120954002
r0_cfg31,0,35.25004361476749,2.600718188099563,1.8398560378700495,0.29640839248895645,3,10,0.75,0.872,0.862,0.0,0.006,0.188,0.762,0.714,0.736,0.7800408858603066
r0_cfg30,0,22.043042327277362,1.3930557081475854,1.3084410410374403,0.6238271780312061,5,14,0.798,0.89,0.872,0.0,0.014,0.134,0.786,0.77,0.74,0.8069412410763317
r0_cfg32,0,16.699308954179287,0.39568061381578445,0.2329247072339058,0.9656184045597911,6,4,0.786,0.884,0.868,0.0,0.004,0.112,0.766,0.748,0.742,0.7962352941176472
r0_cfg33,0,15.671887564472854,1.528851849026978,1.3245170144364238,0.740848514251411,6,5,0.796,0.876,0.838,0.0,0.0,0.086,0.778,0.796,0.772,0.8084102141680396
r0_cfg34,0,36.27803423628211,1.4805935192853212,2.998835896141827,0.005791701376438141,9,11,0.764,0.878,0.848,0.0,0.018,0.148,0.76,0.748,0.764,0.7920033599328014
r0_cfg37,0,7.425965553149581,2.9283773358911276,2.57797918561846,0.33136167004704475,2,4,0.77,0.868,0.846,0.0,0.012,0.128,0.768,0.746,0.756,0.7907278081615481
r0_cfg36,0,2.635398662649095,0.48358392622321844,1.5425527235493064,0.4139780690893531,4,9,0.776,0.9,0.87,0.004,0.02,0.112,0.766,0.718,0.718,0.7871794439764112
r0_cfg35,0,22.539671763777733,2.5009584613144398,0.1553424233570695,0.8326697535812855,7,16,0.81,0.868,0.854,0.0,0.0,0.188,0.784,0.742,0.73,0.7953483709273182
r0_cfg38,0,27.49894752819091,0.06798526737838984,0.9974107732996345,0.9063673904165626,7,10,0.766,0.846,0.862,0.006,0.0,0.116,0.742,0.73,0.726,0.775949200913242
r0_cfg39,0,31.3187592709437,2.050753223709762,1.9656295655295253,0.23568687122315168,9,14,0.782,0.892,0.87,0.0,0.0,0.114,0.736,0.764,0.744,0.7948671679197994
r0_cfg40,0,10.881321327760816,0.9705125167965889,0.48466884065419436,0.5020498409867287,4,7,0.77,0.87,0.856,0.006,0.012,0.114,0.766,0.746,0.78,0.7965513784461152
r0_cfg41,0,15.537513698451221,2.385994680225849,2.1306656347587705,0.9408905254676938,8,9,0.752,0.884,0.852,0.0,0.0,0.154,0.78,0.772,0.768,0.800354963948974
r0_cfg44,0,9.16828732099384,1.1327167209237814,0.8374346131458879,0.14276858512312174,6,6,0.768,0.878,0.852,0.0,0.0,0.12,0.76,0.764,0.742,0.7921169885250491
r0_cfg43,0,28.156042002141476,1.8342982241883874,2.3623402258381248,0.5952122379094362,3,13,0.736,0.89,0.846,0.0,0.0,0.118,0.76,0.746,0.716,0.780114188325522
r0_cfg45,0,4.206631330773234,2.063232301734388,0.3652634611353278,0.1001292634755373,8,7,0.806,0.852,0.868,0.0,0.004,0.192,0.736,0.758,0.716,0.7858192567567568
r0_cfg42,0,34.01315501704812,0.6527969716116786,0.6936514405533671,0.2970827054232359,5,15,0.75,0.896,0.846,0.0,0.0,0.114,0.734,0.762,0.732,0.784205649717514
r0_cfg47,0,38.80134102795273,2.7079462576657534,1.1651130812242627,0.44195494521409273,5,11,0.79,0.874,0.85,0.0,0.0,0.094,0.746,0.762,0.716,0.7867083157450402
r0_cfg46,0,23.36785562802106,0.8921684212982655,1.7085271859541535,0.6462667817249894,3,13,0.786,0.874,0.85,0.0,0.004,0.108,0.794,0.754,0.754,0.8005015239678581
r1_cfg3,1,10.899885849838823,1.4664537158056439,1.7714397241919473,0.029287453062735398,3,3,0.8,0.878,0.838,0.0,0.004,0.096,0.788,0.76,0.734,0.797764624148951
r1_cfg5,1,10.391541748913593,1.5481874305423098,2.200726308735181,0.1385174887776555,5,3,0.794,0.88,0.856,0.0,0.006,0.206,0.778,0.796,0.758,0.8089894419306184
r1_cfg6,1,7.137940057285431,1.6105359524231644,2.262084983112449,0.9387113049372621,8,4,0.814,0.888,0.882,0.0,0.0,0.098,0.794,0.766,0.77,0.8168118301451635
r1_cfg7,1,17.899903705600288,1.629791969835014,2.231828810805504,0.3032631289376629,7,5,0.798,0.888,0.866,0.0,0.006,0.112,0.834,0.772,0.752,0.8170558044806517
r1_cfg1,1,26.848459245868355,1.5355877787573642,2.5112208798179383,0.35487973382927335,5,5,0.804,0.918,0.868,0.0,0.012,0.076,0.754,0.746,0.768,0.8061095100864554
r1_cfg0,1,32.96135046928396,1.6069506361422556,2.0248155122362963,0.19310704999265987,4,9,0.802,0.844,0.858,0.0,0.004,0.134,0.732,0.734,0.754,0.7844877222692633
r1_cfg2,1,9.829670335559765,1.5774504258726276,1.8513040259404119,0.02300185359605778,8,12,0.772,0.876,0.852,0.0,0.0,0.14,0.754,0.744,0.762,0.7913165266106442
r1_cfg4,1,17.38835636022469,1.908207227485483,2.090257327680204,0.35066579881911647,8,14,0.774,0.87,0.87,0.0,0.0,0.14,0.786,0.772,0.756,0.8032858326429164
r2_cfg6,2,19.690857550726886,1.7473632774342391,2.004336012518894,0.2659010892933435,3,3,0.766,0.876,0.874,0.0,0.006,0.128,0.752,0.776,0.762,0.7992287418504648
r2_cfg4,2,19.180857987407318,1.1345242973578826,2.768495107482518,0.37111935528815637,7,3,0.776,0.88,0.856,0.0,0.0,0.112,0.77,0.764,0.752,0.7978924551896623
r2_cfg0,2,31.941745966272208,1.4946947629984537,2.3669530403210395,0.2021725141533643,7,4,0.812,0.884,0.886,0.0,0.0,0.12,0.756,0.78,0.754,0.8090831964969895
r2_cfg1,2,8.317899405438773,1.6446935412682855,2.4750245947575866,0.4792758662583225,7,5,0.782,0.9,0.862,0.0,0.0,0.106,0.802,0.782,0.736,0.8089473684210527
r2_cfg2,2,34.01942346763067,0.9565424768229132,2.3921400208827164,0.2610974458853636,9,6,0.804,0.878,0.878,0.0,0.0,0.11,0.778,0.804,0.764,0.816110884631064
r2_cfg7,2,37.85609174252169,2.4707267743447705,2.7852391236412073,0.9729335730624458,9,7,0.766,0.89,0.846,0.0,0.0,0.088,0.786,0.778,0.758,0.8028805970149253
r2_cfg3,2,19.012045486408283,1.7451522007375724,2.039794590228314,0.8978521324668655,9,4,0.778,0.88,0.85,0.006,0.01,0.108,0.776,0.796,0.75,0.8038062111801243
r2_cfg5,2,9.438436457201997,1.7493765100993248,2.593184415824381,0.2953149390745959,6,8,0.798,0.888,0.872,0.0,0.0,0.146,0.778,0.766,0.766,0.8092276088742811
r3_cfg6,3,28.89435711499651,1.6156374274186116,1.1496319133169108,0.28177871459193665,8,4,0.77,0.854,0.838,0.0,0.006,0.148,0.746,0.744,0.722,0.7767713592925403
r3_cfg2,3,4.506880188052014,1.4784983501961528,2.22256330897034,0.15813726205845582,10,4,0.756,0.856,0.878,0.0,0.0,0.134,0.79,0.808,0.778,0.8105548705302097
r3_cfg3,3,24.29573915108696,0.5612727524093731,1.9514092682277655,0.7747428644107616,6,4,0.768,0.898,0.858,0.0,0.0,0.092,0.748,0.768,0.728,0.7919261744966443
r3_cfg7,3,34.814080584800585,1.5282826546367598,2.353089633513178,0.23089236630127236,6,5,0.744,0.892,0.866,0.0,0.0,0.122,0.774,0.758,0.75,0.7956471571906354
r3_cfg5,3,33.80737587365092,1.490781468128014,2.0166623031804916,0.9537544091938485,7,4,0.774,0.892,0.864,0.0,0.0,0.092,0.766,0.776,0.758,0.8031746031746032
r3_cfg1,3,3.6877410258133376,1.696930801600982,2.7901343328417925,0.882470940440652,6,7,0.728,0.882,0.832,0.0,0.006,0.11,0.796,0.788,0.756,0.7966373902132998
r3_cfg0,3,32.45269779964214,1.501858540617822,2.2015949426419135,0.7281037624031818,7,6,0.774,0.88,0.85,0.0,0.0,0.112,0.744,0.716,0.734,0.7795907478359586
r3_cfg4,3,24.59129710903185,1.5443474913373272,2.6694017704560578,0.8520206904410775,3,6,0.796,0.882,0.862,0.0,0.0,0.138,0.716,0.718,0.696,0.7723340471092077
r4_cfg5,4,31.456451240695163,1.6156392060758287,2.2063434191473754,0.3276398910601845,5,3,0.742,0.874,0.854,0.008,0.006,0.084,0.734,0.754,0.7,0.7734879061113495
r4_cfg0,4,16.300077241792522,1.6285842035823714,2.514633499266358,0.5275590443880365,9,3,0.81,0.85,0.866,0.0,0.0,0.092,0.748,0.792,0.766,0.8036639072847682
r4_cfg2,4,32.5775327084137,1.7240181105475356,2.193919997061404,0.3475832342805795,7,4,0.772,0.858,0.876,0.0,0.016,0.144,0.788,0.72,0.754,0.7925855704697987
r4_cfg4,4,16.575487309646718,1.4568246064221197,2.2954119221859965,0.3327223556302809,8,4,0.788,0.888,0.854,0.0,0.016,0.136,0.676,0.706,0.68,0.757383855981417
r4_cfg3,4,10.74333693926512,1.2634200242570433,2.1834221358652974,0.961014500267551,7,5,0.776,0.888,0.862,0.0,0.006,0.128,0.816,0.788,0.748,0.8119655596555966
r4_cfg7,4,14.706973222536732,1.5921344112896796,1.2603578052683937,0.45227598752901277,6,5,0.784,0.866,0.856,0.0,0.0,0.144,0.734,0.778,0.74,0.7907400868712344
r4_cfg1,4,1.075891305840592,0.7254722417883759,2.114935903542287,0.3368034332399254,9,5,0.832,0.914,0.874,0.0,0.006,0.114,0.774,0.746,0.778,0.8161529076860512
r4_cfg6,4,5.59174164669687,0.5749794342296031,2.653347131366677,0.3329495614431585,7,7,0.796,0.892,0.874,0.006,0.0,0.164,0.78,0.772,0.754,0.809089564502876
r5_cfg7,5,22.912503308946814,1.3177599352848792,2.1509111181501703,0.39823655336593256,7,5,0.792,0.882,0.87,0.0,0.0,0.08,0.778,0.784,0.752,0.8078517908604363
r5_cfg6,5,6.410766018637808,1.551783629343527,1.7248997884360535,0.39619707400507187,7,5,0.764,0.884,0.846,0.0,0.0,0.126,0.778,0.732,0.762,0.7926098755070639
r5_cfg4,5,16.802827868679977,2.1848969941957694,2.2258669932749138,0.4783298440924121,7,4,0.792,0.852,0.836,0.004,0.0,0.156,0.75,0.724,0.74,0.77982104814657
r5_cfg1,5,21.666570850259678,0.18294289279252302,2.2874965227458652,0.22765821902817834,7,4,0.792,0.868,0.884,0.0,0.0,0.124,0.768,0.786,0.76,0.8078517908604363
r5_cfg5,5,28.220643140805027,1.7933392206027023,2.102131478628407,0.3930283950927894,7,6,0.79,0.88,0.862,0.0,0.012,0.078,0.744,0.746,0.714,0.7855472972972972
r5_cfg2,5,6.8770244893472325,1.6245772141726946,2.2046382389527395,0.3984298334506492,6,4,0.794,0.882,0.852,0.0,0.0,0.1,0.736,0.752,0.722,0.786109469537076
r5_cfg0,5,26.231752887942886,1.502018242709807,2.195502796282472,0.3985224762601919,2,12,0.818,0.86,0.848,0.0,0.0,0.146,0.77,0.802,0.754,0.8072926628194559
r5_cfg3,5,37.34957109804265,1.337325456687645,2.06705037082484,0.39456575644942005,5,16,0.784,0.866,0.874,0.0,0.0,0.098,0.748,0.77,0.78,0.8019012857735378
