model,response_quality,relevance,helpfulness,toxicity,refusal,harmfulness,toxicity_detoxify,quality_axis,safety_axis,strategy,beta,temperature,quality_mean,safety_bad_mean,composite_score
gsi_elo_no_th__beta2.5000_temp11.2500,0.7815,0.6741,0.6901,0.0481,0.5296,0.0704,0.0169,0.7152,0.9407,gsi_elo_no_th,2.5,11.25,0.7152333333333334,0.2160333333333333,0.4992000000000001
gsi_swiss_no_th__beta1.3750_temp12.5000,0.7756,0.6878,0.7012,0.0488,0.563,0.0561,0.0121,0.7215,0.9476,gsi_swiss_no_th,1.375,12.5,0.7215333333333334,0.22263333333333332,0.4989
gsi_swiss_no_th__beta1.3750_temp10.0000,0.7768,0.6878,0.7,0.0488,0.563,0.0561,0.0121,0.7215,0.9476,gsi_swiss_no_th,1.375,10.0,0.7215333333333334,0.22263333333333332,0.4989
gsi_swiss_no_th__beta1.3750_temp15.0000,0.7756,0.6878,0.7012,0.0488,0.563,0.0561,0.0121,0.7215,0.9476,gsi_swiss_no_th,1.375,15.0,0.7215333333333334,0.22263333333333332,0.4989
gsi_swiss_no_th__beta1.3750_temp13.7500,0.7756,0.6878,0.7012,0.0488,0.563,0.0561,0.0121,0.7215,0.9476,gsi_swiss_no_th,1.375,13.75,0.7215333333333334,0.22263333333333332,0.4989
gsi_swiss_no_th__beta1.3750_temp11.2500,0.7756,0.6878,0.7012,0.0488,0.563,0.0561,0.0121,0.7215,0.9476,gsi_swiss_no_th,1.375,11.25,0.7215333333333334,0.22263333333333332,0.4989
gsi_elo_no_match__beta1.7500_temp12.5000,0.7658,0.6605,0.7,0.0224,0.5671,0.0421,0.0134,0.7088,0.9678,gsi_elo_no_match,1.75,12.5,0.7087666666666665,0.21053333333333335,0.4982333333333332
gsi_elo_no_match__beta1.3750_temp10.0000,0.7684,0.6747,0.6684,0.0278,0.5481,0.0443,0.006,0.7038,0.9639,gsi_elo_no_match,1.375,10.0,0.7038333333333333,0.20673333333333335,0.4971
gsi_softmax_no_th__beta1.0000_temp15.0000,0.7596,0.656,0.698,0.031,0.544,0.048,0.0073,0.7045,0.9605,gsi_softmax_no_th,1.0,15.0,0.7045333333333333,0.20766666666666667,0.4968666666666667
gsi_softmax_no_th__beta1.0000_temp12.5000,0.7596,0.656,0.698,0.031,0.544,0.048,0.0073,0.7045,0.9605,gsi_softmax_no_th,1.0,12.5,0.7045333333333333,0.20766666666666667,0.4968666666666667
gsi_softmax_no_th__beta1.0000_temp11.2500,0.7596,0.656,0.698,0.031,0.544,0.048,0.0073,0.7045,0.9605,gsi_softmax_no_th,1.0,11.25,0.7045333333333333,0.20766666666666667,0.4968666666666667
gsi_softmax_no_th__beta1.0000_temp13.7500,0.7596,0.656,0.698,0.031,0.544,0.048,0.0073,0.7045,0.9605,gsi_softmax_no_th,1.0,13.75,0.7045333333333333,0.20766666666666667,0.4968666666666667
gsi_elo_no_th__beta1.7500_temp10.0000,0.7329,0.6679,0.7073,0.0378,0.522,0.061,0.0118,0.7027,0.9506,gsi_elo_no_th,1.75,10.0,0.7027000000000001,0.20693333333333333,0.4957666666666668
gsi_elo_no_th__beta1.0000_temp13.7500,0.7667,0.6631,0.7012,0.0381,0.5774,0.0286,0.0095,0.7103,0.9667,gsi_elo_no_th,1.0,13.75,0.7103333333333334,0.2147,0.49563333333333337
gsi_elo_no_th__beta1.0000_temp12.5000,0.765,0.6712,0.67,0.0388,0.5338,0.05,0.0073,0.7021,0.9556,gsi_elo_no_th,1.0,12.5,0.7020666666666666,0.20753333333333335,0.49453333333333327
gsi_softmax_no_th__beta1.0000_temp10.0000,0.7596,0.651,0.6939,0.031,0.545,0.048,0.0073,0.7015,0.9605,gsi_softmax_no_th,1.0,10.0,0.7014999999999999,0.208,0.49349999999999994
gsi_swiss_no_match__beta2.1250_temp10.0000,0.713,0.7117,0.7065,0.0532,0.5506,0.0494,0.0042,0.7104,0.9487,gsi_swiss_no_match,2.125,10.0,0.7104,0.21773333333333333,0.4926666666666667
gsi_swiss_no_match__beta1.3750_temp12.5000,0.7373,0.6373,0.712,0.0293,0.5413,0.04,0.014,0.6956,0.9653,gsi_swiss_no_match,1.375,12.5,0.6955333333333332,0.20353333333333334,0.4919999999999999
gsi_elo_no_th__beta2.5000_temp15.0000,0.7537,0.6488,0.6866,0.028,0.5366,0.0488,0.0042,0.6963,0.9616,gsi_elo_no_th,2.5,15.0,0.6963666666666667,0.20446666666666666,0.4919
gsi_elo_no_th__beta1.3750_temp15.0000,0.7525,0.66,0.7111,0.0296,0.5605,0.0691,0.0185,0.7079,0.9506,gsi_elo_no_th,1.375,15.0,0.7078666666666668,0.21973333333333334,0.4881333333333334
gsi_elo_no_match__beta1.0000_temp10.0000,0.744,0.6533,0.692,0.016,0.5813,0.0293,0.0036,0.6964,0.9773,gsi_elo_no_match,1.0,10.0,0.6964333333333332,0.20886666666666667,0.4875666666666666
gsi_swiss_no_match__beta1.3750_temp15.0000,0.7312,0.6494,0.7065,0.0403,0.5455,0.0403,0.0051,0.6957,0.9597,gsi_swiss_no_match,1.375,15.0,0.6957,0.2087,0.487
gsi_elo_no_match__beta2.1250_temp13.7500,0.7342,0.6684,0.6899,0.0291,0.5494,0.0532,0.0069,0.6975,0.9589,gsi_elo_no_match,2.125,13.75,0.6975000000000001,0.21056666666666668,0.48693333333333344
gsi_elo_no_match__beta1.3750_temp12.5000,0.7342,0.6211,0.6816,0.0039,0.5579,0.0145,0.0031,0.6789,0.9908,gsi_elo_no_match,1.375,12.5,0.6789666666666667,0.19209999999999997,0.4868666666666668
gsi_elo_no_match__beta1.0000_temp12.5000,0.7211,0.6461,0.6513,0.0289,0.4974,0.0342,0.0041,0.6728,0.9684,gsi_elo_no_match,1.0,12.5,0.6728333333333333,0.18683333333333332,0.486
gsi_swiss_no_match__beta1.7500_temp10.0000,0.7222,0.6025,0.6914,0.0123,0.5173,0.0358,0.0045,0.672,0.9759,gsi_swiss_no_match,1.75,10.0,0.6720333333333333,0.18846666666666667,0.4835666666666666
gsi_elo_no_match__beta1.3750_temp13.7500,0.7558,0.6494,0.6779,0.0208,0.5922,0.0195,0.0037,0.6944,0.9799,gsi_elo_no_match,1.375,13.75,0.6943666666666667,0.21083333333333332,0.48353333333333337
gsi_elo_no_match__beta2.1250_temp12.5000,0.724,0.6427,0.712,0.028,0.5693,0.032,0.0068,0.6929,0.97,gsi_elo_no_match,2.125,12.5,0.6929,0.20976666666666666,0.4831333333333333
gsi_elo_no_th__beta1.7500_temp11.2500,0.7488,0.6812,0.67,0.0575,0.5438,0.05,0.0191,0.7,0.9462,gsi_elo_no_th,1.75,11.25,0.7000000000000001,0.2171,0.4829000000000001
gsi_elo_no_match__beta2.1250_temp15.0000,0.7286,0.6831,0.6818,0.0312,0.561,0.0532,0.0085,0.6978,0.9578,gsi_elo_no_match,2.125,15.0,0.6978333333333334,0.21513333333333337,0.4827
gsi_swiss_no_match__beta1.7500_temp12.5000,0.739,0.6584,0.7013,0.0234,0.5688,0.0597,0.0126,0.6996,0.9584,gsi_swiss_no_match,1.75,12.5,0.6995666666666667,0.21729999999999997,0.48226666666666673
gsi_elo_no_match__beta2.5000_temp13.7500,0.7295,0.6064,0.7231,0.0128,0.5564,0.0449,0.0047,0.6863,0.9712,gsi_elo_no_match,2.5,13.75,0.6863333333333334,0.2047,0.48163333333333336
gsi_swiss_no_match__beta2.5000_temp10.0000,0.7646,0.6101,0.7,0.019,0.5873,0.0253,0.004,0.6916,0.9778,gsi_swiss_no_match,2.5,10.0,0.6915666666666667,0.21053333333333335,0.4810333333333333
gsi_elo_no_th__beta2.1250_temp15.0000,0.7585,0.6634,0.678,0.0305,0.5439,0.0829,0.0127,0.7,0.9433,gsi_elo_no_th,2.125,15.0,0.6999666666666666,0.2191,0.48086666666666666
gsi_swiss_no_th__beta2.5000_temp11.2500,0.7683,0.661,0.6707,0.0354,0.5683,0.0549,0.0151,0.7,0.9549,gsi_swiss_no_th,2.5,11.25,0.7000000000000001,0.21953333333333336,0.4804666666666667
gsi_swiss_no_th__beta2.5000_temp13.7500,0.7683,0.661,0.6707,0.0354,0.5683,0.0549,0.0151,0.7,0.9549,gsi_swiss_no_th,2.5,13.75,0.7000000000000001,0.21953333333333336,0.4804666666666667
gsi_swiss_no_th__beta2.5000_temp12.5000,0.7683,0.661,0.6707,0.0354,0.5683,0.0549,0.0151,0.7,0.9549,gsi_swiss_no_th,2.5,12.5,0.7000000000000001,0.21953333333333336,0.4804666666666667
gsi_swiss_no_th__beta2.5000_temp15.0000,0.7683,0.661,0.6707,0.0354,0.5683,0.0549,0.0151,0.7,0.9549,gsi_swiss_no_th,2.5,15.0,0.7000000000000001,0.21953333333333336,0.4804666666666667
gsi_swiss_no_match__beta2.5000_temp13.7500,0.7211,0.6632,0.7079,0.0395,0.5829,0.0289,0.0136,0.6974,0.9658,gsi_swiss_no_match,2.5,13.75,0.6974,0.2171,0.48030000000000006
gsi_elo_no_match__beta1.0000_temp13.7500,0.75,0.6211,0.6737,0.0355,0.5263,0.0421,0.0047,0.6816,0.9612,gsi_elo_no_match,1.0,13.75,0.6816,0.2013,0.48029999999999995
gsi_elo_no_th__beta1.3750_temp11.2500,0.7366,0.6634,0.6878,0.0256,0.578,0.0439,0.0051,0.6959,0.9652,gsi_elo_no_th,1.375,11.25,0.6959333333333332,0.21583333333333332,0.48009999999999986
gsi_swiss_no_th__beta2.5000_temp10.0000,0.7683,0.661,0.6695,0.0354,0.5683,0.0549,0.0151,0.6996,0.9549,gsi_swiss_no_th,2.5,10.0,0.6995999999999999,0.21953333333333336,0.48006666666666653
gsi_elo_no_th__beta2.5000_temp10.0000,0.772,0.6671,0.6561,0.039,0.5671,0.0537,0.0141,0.6984,0.9537,gsi_elo_no_th,2.5,10.0,0.6984,0.21993333333333334,0.4784666666666667
gsi_elo_no_match__beta2.1250_temp10.0000,0.7316,0.625,0.6855,0.0395,0.5408,0.0276,0.0096,0.6807,0.9664,gsi_elo_no_match,2.125,10.0,0.6807,0.2026333333333333,0.47806666666666664
gsi_softmax_no_th__beta2.1250_temp10.0000,0.75,0.611,0.702,0.035,0.543,0.051,0.0043,0.6877,0.957,gsi_softmax_no_th,2.125,10.0,0.6876666666666665,0.20966666666666667,0.47799999999999987
gsi_elo_no_th__beta1.3750_temp10.0000,0.7181,0.6542,0.6768,0.0072,0.5427,0.0663,0.0102,0.683,0.9633,gsi_elo_no_th,1.375,10.0,0.6830333333333334,0.2054,0.47763333333333335
gsi_softmax_no_th__beta2.1250_temp13.7500,0.751,0.607,0.702,0.035,0.543,0.051,0.0043,0.6867,0.957,gsi_softmax_no_th,2.125,13.75,0.6866666666666666,0.20966666666666667,0.477
gsi_softmax_no_th__beta2.1250_temp11.2500,0.751,0.607,0.702,0.035,0.543,0.051,0.0043,0.6867,0.957,gsi_softmax_no_th,2.125,11.25,0.6866666666666666,0.20966666666666667,0.477
gsi_softmax_no_th__beta2.1250_temp12.5000,0.751,0.607,0.702,0.035,0.543,0.051,0.0043,0.6867,0.957,gsi_softmax_no_th,2.125,12.5,0.6866666666666666,0.20966666666666667,0.477
gsi_softmax_no_th__beta2.1250_temp15.0000,0.751,0.607,0.702,0.035,0.543,0.051,0.0043,0.6867,0.957,gsi_softmax_no_th,2.125,15.0,0.6866666666666666,0.20966666666666667,0.477
gsi_swiss_no_match__beta1.0000_temp15.0000,0.7115,0.6538,0.6974,0.0333,0.5551,0.0449,0.0055,0.6876,0.9609,gsi_swiss_no_match,1.0,15.0,0.6875666666666667,0.21110000000000004,0.4764666666666666
gsi_elo_no_match__beta1.7500_temp10.0000,0.7289,0.639,0.6792,0.0286,0.5338,0.0584,0.0059,0.6824,0.9565,gsi_elo_no_match,1.75,10.0,0.6823666666666668,0.20693333333333333,0.4754333333333335
gsi_softmax_no_th__beta1.3750_temp15.0000,0.715,0.6131,0.675,0.022,0.521,0.037,0.0049,0.6677,0.9705,gsi_softmax_no_th,1.375,15.0,0.6677,0.19333333333333336,0.4743666666666666
gsi_softmax_no_th__beta1.3750_temp11.2500,0.715,0.6131,0.675,0.022,0.521,0.037,0.0049,0.6677,0.9705,gsi_softmax_no_th,1.375,11.25,0.6677,0.19333333333333336,0.4743666666666666
gsi_softmax_no_th__beta1.3750_temp13.7500,0.715,0.6131,0.675,0.022,0.521,0.037,0.0049,0.6677,0.9705,gsi_softmax_no_th,1.375,13.75,0.6677,0.19333333333333336,0.4743666666666666
gsi_softmax_no_th__beta1.3750_temp12.5000,0.715,0.6131,0.675,0.022,0.521,0.037,0.0049,0.6677,0.9705,gsi_softmax_no_th,1.375,12.5,0.6677,0.19333333333333336,0.4743666666666666
gsi_swiss_no_match__beta1.0000_temp10.0000,0.739,0.6364,0.6948,0.0338,0.5649,0.0494,0.0031,0.69,0.9584,gsi_swiss_no_match,1.0,10.0,0.6900666666666666,0.2160333333333333,0.4740333333333333
gsi_softmax_no_th__beta1.3750_temp10.0000,0.714,0.6131,0.675,0.022,0.521,0.037,0.0049,0.6674,0.9705,gsi_softmax_no_th,1.375,10.0,0.6673666666666667,0.19333333333333336,0.4740333333333333
gsi_elo_no_th__beta2.5000_temp13.7500,0.7524,0.6695,0.6829,0.05,0.5451,0.089,0.0176,0.7016,0.9305,gsi_elo_no_th,2.5,13.75,0.7016,0.22803333333333334,0.4735666666666667
gsi_elo_no_match__beta2.5000_temp10.0000,0.7162,0.59,0.6925,0.025,0.535,0.0238,0.0038,0.6662,0.9756,gsi_elo_no_match,2.5,10.0,0.6662333333333333,0.1946,0.47163333333333335
gsi_elo_no_match__beta1.7500_temp15.0000,0.7269,0.6026,0.7218,0.0385,0.5603,0.0436,0.0052,0.6838,0.959,gsi_elo_no_match,1.75,15.0,0.6837666666666666,0.21413333333333337,0.46963333333333324
gsi_elo_no_match__beta1.7500_temp11.2500,0.7566,0.6618,0.6684,0.0303,0.6184,0.0316,0.0043,0.6956,0.9691,gsi_elo_no_match,1.75,11.25,0.6956000000000001,0.22676666666666664,0.46883333333333344
gsi_swiss_no_match__beta2.1250_temp11.2500,0.7158,0.6316,0.6987,0.0263,0.5763,0.0382,0.0077,0.682,0.9678,gsi_swiss_no_match,2.125,11.25,0.6820333333333334,0.2136,0.46843333333333337
gsi_elo_no_match__beta1.7500_temp13.7500,0.719,0.6025,0.719,0.0177,0.5772,0.0405,0.0062,0.6802,0.9709,gsi_elo_no_match,1.75,13.75,0.6801666666666666,0.21180000000000002,0.4683666666666666
gsi_swiss_no_match__beta1.3750_temp13.7500,0.7244,0.6295,0.7115,0.0372,0.5718,0.0526,0.0047,0.6885,0.9551,gsi_swiss_no_match,1.375,13.75,0.6884666666666667,0.22053333333333333,0.4679333333333333
gsi_elo_no_th__beta2.5000_temp12.5000,0.7305,0.6732,0.6793,0.0598,0.5634,0.0561,0.0089,0.6943,0.9421,gsi_elo_no_th,2.5,12.5,0.6943333333333334,0.22643333333333335,0.4679
gsi_swiss_no_match__beta1.7500_temp11.2500,0.7325,0.6312,0.7065,0.0455,0.6091,0.0195,0.0042,0.69,0.9675,gsi_swiss_no_match,1.75,11.25,0.6900666666666667,0.22469999999999998,0.4653666666666667
gsi_elo_no_match__beta1.0000_temp15.0000,0.7177,0.6608,0.6785,0.0532,0.5646,0.0443,0.0111,0.6857,0.9513,gsi_elo_no_match,1.0,15.0,0.6856666666666666,0.2207,0.46496666666666664
gsi_elo_no_th__beta2.1250_temp11.2500,0.7358,0.6444,0.7235,0.0704,0.579,0.063,0.0181,0.7012,0.9333,gsi_elo_no_th,2.125,11.25,0.7012333333333333,0.23746666666666663,0.46376666666666666
gsi_softmax_no_th__beta1.7500_temp10.0000,0.74,0.578,0.676,0.015,0.569,0.019,0.0049,0.6647,0.983,gsi_softmax_no_th,1.75,10.0,0.6646666666666667,0.20099999999999998,0.4636666666666668
gsi_softmax_no_th__beta1.7500_temp11.2500,0.741,0.578,0.678,0.015,0.57,0.021,0.0049,0.6657,0.982,gsi_softmax_no_th,1.75,11.25,0.6656666666666666,0.20199999999999999,0.46366666666666667
gsi_softmax_no_th__beta1.7500_temp12.5000,0.741,0.578,0.678,0.015,0.57,0.021,0.0049,0.6657,0.982,gsi_softmax_no_th,1.75,12.5,0.6656666666666666,0.20199999999999999,0.46366666666666667
gsi_softmax_no_th__beta1.7500_temp15.0000,0.741,0.578,0.678,0.015,0.57,0.021,0.0049,0.6657,0.982,gsi_softmax_no_th,1.75,15.0,0.6656666666666666,0.20199999999999999,0.46366666666666667
gsi_softmax_no_th__beta1.7500_temp13.7500,0.741,0.578,0.678,0.015,0.57,0.021,0.0049,0.6657,0.982,gsi_softmax_no_th,1.75,13.75,0.6656666666666666,0.20199999999999999,0.46366666666666667
gsi_swiss_no_match__beta2.5000_temp15.0000,0.7065,0.6519,0.6649,0.0675,0.513,0.0558,0.0172,0.6745,0.9383,gsi_swiss_no_match,2.5,15.0,0.6744333333333333,0.21209999999999998,0.4623333333333334
gsi_elo_no_match__beta2.5000_temp12.5000,0.7156,0.5896,0.6909,0.0247,0.5455,0.0403,0.007,0.6654,0.9675,gsi_elo_no_match,2.5,12.5,0.6653666666666668,0.20350000000000001,0.46186666666666676
gsi_swiss_no_match__beta2.5000_temp12.5000,0.7403,0.6351,0.6221,0.0156,0.5662,0.0312,0.012,0.6658,0.9766,gsi_swiss_no_match,2.5,12.5,0.6658333333333334,0.20433333333333334,0.4615
gsi_elo_no_th__beta2.1250_temp13.7500,0.7568,0.6568,0.6728,0.0444,0.5753,0.0864,0.0058,0.6955,0.9346,gsi_elo_no_th,2.125,13.75,0.6954666666666668,0.2353666666666667,0.46010000000000006
gsi_swiss_no_th__beta1.0000_temp10.0000,0.7133,0.6639,0.6699,0.0506,0.5566,0.0639,0.0154,0.6823,0.9428,gsi_swiss_no_th,1.0,10.0,0.6823666666666668,0.2237,0.4586666666666668
gsi_softmax_no_th__beta2.5000_temp12.5000,0.746,0.609,0.675,0.026,0.6,0.029,0.006,0.6767,0.9725,gsi_softmax_no_th,2.5,12.5,0.6766666666666667,0.21833333333333335,0.45833333333333337
gsi_softmax_no_th__beta2.5000_temp15.0000,0.746,0.609,0.675,0.026,0.6,0.029,0.006,0.6767,0.9725,gsi_softmax_no_th,2.5,15.0,0.6766666666666667,0.21833333333333335,0.45833333333333337
gsi_softmax_no_th__beta2.5000_temp11.2500,0.746,0.609,0.675,0.026,0.6,0.029,0.006,0.6767,0.9725,gsi_softmax_no_th,2.5,11.25,0.6766666666666667,0.21833333333333335,0.45833333333333337
gsi_softmax_no_th__beta2.5000_temp13.7500,0.746,0.609,0.675,0.026,0.6,0.029,0.006,0.6767,0.9725,gsi_softmax_no_th,2.5,13.75,0.6766666666666667,0.21833333333333335,0.45833333333333337
gsi_softmax_no_th__beta2.5000_temp10.0000,0.747,0.609,0.674,0.026,0.6,0.029,0.006,0.6767,0.9725,gsi_softmax_no_th,2.5,10.0,0.6766666666666666,0.21833333333333335,0.45833333333333326
gsi_swiss_no_match__beta2.1250_temp12.5000,0.7234,0.5935,0.7273,0.0377,0.5831,0.0494,0.0184,0.6814,0.9565,gsi_swiss_no_match,2.125,12.5,0.6814,0.22339999999999996,0.4580000000000001
gsi_swiss_no_match__beta1.7500_temp15.0000,0.7175,0.59,0.6838,0.02,0.555,0.0438,0.0064,0.6638,0.9681,gsi_swiss_no_match,1.75,15.0,0.6637666666666667,0.20626666666666668,0.4575
gsi_swiss_no_match__beta2.1250_temp15.0000,0.7141,0.5846,0.6859,0.0462,0.5385,0.0308,0.0131,0.6615,0.9615,gsi_swiss_no_match,2.125,15.0,0.6615333333333333,0.20516666666666664,0.4563666666666667
gsi_swiss_no_th__beta1.0000_temp11.2500,0.7133,0.6566,0.6699,0.0506,0.5566,0.0639,0.0154,0.6799,0.9428,gsi_swiss_no_th,1.0,11.25,0.6799333333333334,0.2237,0.4562333333333334
gsi_swiss_no_th__beta1.0000_temp13.7500,0.7133,0.6566,0.6699,0.0506,0.5566,0.0639,0.0154,0.6799,0.9428,gsi_swiss_no_th,1.0,13.75,0.6799333333333334,0.2237,0.4562333333333334
gsi_swiss_no_th__beta1.0000_temp15.0000,0.7133,0.6566,0.6699,0.0506,0.5566,0.0639,0.0154,0.6799,0.9428,gsi_swiss_no_th,1.0,15.0,0.6799333333333334,0.2237,0.4562333333333334
gsi_swiss_no_th__beta1.0000_temp12.5000,0.7133,0.6566,0.6699,0.0506,0.5566,0.0639,0.0154,0.6799,0.9428,gsi_swiss_no_th,1.0,12.5,0.6799333333333334,0.2237,0.4562333333333334
